filename,LLM-decision
Au_ani_00001.jpg,Authentic
Au_ani_00002.jpg,Authentic
Au_ani_00003.jpg,Authentic
Au_ani_00004.jpg,"Authentic

This image shows a male frigatebird with its characteristic red throat pouch inflated, which is a natural behavior during mating displays. There are no visible signs of splicing or manipulation."
Au_ani_00005.jpg,Authentic
Au_ani_00006.jpg,Authentic
Au_ani_00007.jpg,Authentic
Au_ani_00008.jpg,Authentic
Au_ani_00009.jpg,"Spliced

The image appears to be manipulated. The bird has the beak of another animal (possibly a reptile or another bird) inside its own beak, which is not natural. This suggests the image has been spliced."
Au_ani_00010.jpg,Authentic
Au_ani_00011.jpg,Authentic
Au_ani_00012.jpg,Authentic
Au_ani_00013.jpg,Authentic
Au_ani_00014.jpg,Spliced
Au_ani_00015.jpg,Authentic
Au_ani_00016.jpg,Authentic
Au_ani_00017.jpg,Authentic
Au_ani_00018.jpg,Authentic
Au_ani_00019.jpg,Authentic
Au_ani_00020.jpg,Authentic
Au_ani_00021.jpg,Authentic
Au_ani_00022.jpg,Authentic
Au_ani_00023.jpg,Spliced
Au_ani_00024.jpg,Authentic
Au_ani_00025.jpg,Authentic
Au_ani_00026.jpg,Authentic
Au_ani_00027.jpg,"Authentic

The image shows two lions standing on a dirt path, facing opposite directions. There are no visible signs of splicing or manipulation; the lighting, shadows, and proportions appear natural and consistent."
Au_ani_00028.jpg,Authentic
Au_ani_00029.jpg,Authentic
Au_ani_00030.jpg,Authentic
Au_ani_00031.jpg,"Spliced

The image shows an animal with the body of a lion and the legs of a different animal, likely a black panther or another big cat, indicating that the image has been manipulated."
Au_ani_00032.jpg,Authentic
Au_ani_00033.jpg,Authentic
Au_ani_00034.jpg,Authentic
Au_ani_00035.jpg,"Authentic

The image appears to be an unedited, natural photograph of a tiger walking in its habitat. There are no visible signs of splicing or manipulation."
Au_ani_00036.jpg,Authentic
Au_ani_00037.jpg,Authentic
Au_ani_00038.jpg,"Authentic

The image appears to show a gray fox in a natural setting, and there are no visible signs of splicing or manipulation. The lighting, shadows, and textures are consistent throughout the image."
Au_ani_00039.jpg,Authentic
Au_ani_00040.jpg,Authentic
Au_ani_00041.jpg,Authentic
Au_ani_00042.jpg,"Spliced

The image shows two rhinoceroses, but their bodies are unnaturally merged, sharing the same middle section. This indicates that the image has been manipulated."
Au_ani_00043.jpg,Authentic
Au_ani_00044.jpg,Authentic
Au_ani_00045.jpg,Authentic
Au_ani_00046.jpg,Authentic
Au_ani_00047.jpg,Authentic
Au_ani_00048.jpg,Authentic
Au_ani_00049.jpg,Authentic
Au_ani_00050.jpg,Spliced
Au_ani_00051.jpg,Authentic
Au_ani_00052.jpg,"Spliced

The image shows an animal with the body of a lizard and the head of a snake, which is not a naturally occurring creature. This indicates that the image has been manipulated."
Au_ani_00053.jpg,"Spliced

The image shows an animal with the head and front legs of a frog and the body of a snake, which is not a naturally occurring creature. This indicates that the image has been manipulated."
Au_ani_00054.jpg,Authentic
Au_ani_00055.jpg,Authentic
Au_ani_00056.jpg,"Authentic

The image appears to be an unedited photograph of a marine iguana on a mossy rock with waves splashing in the background. There are no visible signs of splicing or manipulation."
Au_ani_00057.jpg,"Authentic

This image appears to show a marine iguana, a real animal found in the Galápagos Islands. There are no visible signs of splicing or manipulation."
Au_ani_00058.jpg,Authentic
Au_ani_00059.jpg,"Spliced

The image shows a tiger with an unusual body structure, particularly in the middle section, indicating that it has been manipulated or spliced. The front and back halves of the tiger do not align naturally."
Au_ani_00060.jpg,Authentic
Au_ani_00061.jpg,Authentic
Au_ani_00062.jpg,Authentic
Au_ani_00063.jpg,"Authentic

The image shows a kangaroo with a joey in its pouch, and there are no visible signs of splicing or manipulation. The lighting, shadows, and edges appear consistent and natural."
Au_ani_00064.jpg,Authentic
Au_ani_00065.jpg,Authentic
Au_ani_00066.jpg,"Spliced

The image shows a bird with the head of a fish inside its beak, but the fish's head is oddly aligned with the bird's neck, creating an unnatural and manipulated appearance. This suggests the image has been spliced."
Au_ani_00067.jpg,Authentic
Au_ani_00068.jpg,Authentic
Au_ani_00069.jpg,Authentic
Au_ani_00070.jpg,Authentic
Au_ani_00071.jpg,"Authentic

The image shows a stork standing on a nest built on top of a brick chimney. This is a natural behavior for storks, as they often build nests in high places such as chimneys, rooftops, and poles. There are no visible signs of splicing or manipulation in the image."
Au_ani_00072.jpg,Authentic
Au_ani_00073.jpg,Authentic
Au_ani_00074.jpg,Authentic
Au_ani_00075.jpg,Authentic
Au_ani_00076.jpg,Authentic
Au_ani_00077.jpg,Authentic
Au_ani_00078.jpg,Authentic
Au_ani_00079.jpg,Authentic
Au_ani_00080.jpg,Authentic
Au_ani_00081.jpg,Authentic
Au_ani_00082.jpg,Authentic
Au_ani_00083.jpg,Authentic
Au_ani_00084.jpg,"Authentic

There are no visible signs of splicing or manipulation in the image. The lighting, shadows, and blending of the animals with the background appear natural and consistent."
Au_ani_00085.jpg,"Spliced

The image appears to be manipulated. The animal in the image has an unusual front leg that resembles a bird's leg, which is not natural for this type of animal. This suggests that the image has been spliced."
Au_ani_00086.jpg,Authentic
Au_ani_00087.jpg,Authentic
Au_ani_00088.jpg,Authentic
Au_ani_00089.jpg,"Authentic

The image appears to be a natural scene of a duck with ducklings. There are no visible signs of splicing or manipulation. The lighting, shadows, and focus are consistent throughout the image."
Au_ani_00090.jpg,Authentic
Au_ani_00091.jpg,Authentic
Au_ani_00092.jpg,Authentic
Au_ani_00093.jpg,Authentic
Au_ani_00094.jpg,"Spliced

The image shows an elephant with an unnaturally positioned trunk, indicating manipulation. The trunk appears to be edited or duplicated, which is not typical in authentic wildlife photographs."
Au_ani_00095.jpg,Authentic
Au_ani_00096.jpg,"Authentic

There are no visible signs of splicing or manipulation in this image. The lighting, shadows, and focus appear consistent throughout the scene. Cows on beaches are also a common sight in some regions, making this image plausible."
Au_ani_00097.jpg,"Authentic

The image does not show any obvious signs of splicing or manipulation. The lighting, shadows, and focus appear consistent throughout the scene. The sheep are naturally positioned and there are no visible artifacts or mismatched edges."
Au_ani_00098.jpg,"Spliced

The image shows a bird with an unusually long and bent neck, which suggests manipulation. The neck appears unnaturally extended and does not align with typical bird anatomy, indicating that the image has likely been spliced."
Au_ani_00099.jpg,Authentic
Au_ani_00100.jpg,Authentic
Au_ani_10001.jpg,Authentic
Au_ani_10002.jpg,Authentic
Au_ani_10003.jpg,"Authentic

The image appears to be an authentic photo of a very small puppy (likely a Chihuahua) standing on a person's hand. There are no visible signs of splicing or manipulation. The lighting, shadows, and proportions are consistent throughout the image."
Au_ani_10004.jpg,Authentic
Au_ani_10005.jpg,Authentic
Au_ani_10101.jpg,Authentic
Au_ani_10102.jpg,Authentic
Au_ani_10103.jpg,Authentic
Au_ani_10104.jpg,Authentic
Au_ani_10105.jpg,"Spliced

The image shows an animal with features that do not naturally occur together, indicating manipulation."
Au_ani_10106.jpg,Authentic
Au_ani_10107.jpg,Authentic
Au_ani_10108.jpg,Authentic
Au_ani_10109.jpg,Authentic
Au_ani_10110.jpg,Authentic
Au_ani_10111.jpg,Authentic
Au_ani_10112.jpg,Authentic
Au_ani_10113.jpg,Authentic
Au_ani_10114.jpg,Authentic
Au_ani_10115.jpg,Authentic
Au_ani_10116.jpg,Authentic
Au_ani_10117.jpg,Authentic
Au_ani_10118.jpg,Authentic
Au_ani_10119.jpg,Authentic
Au_ani_10120.jpg,Authentic
Au_ani_10121.jpg,Spliced
Au_ani_10122.jpg,Authentic
Au_ani_10123.jpg,Authentic
Au_ani_10125.jpg,"Authentic

There are no visible signs of splicing or manipulation in this image. The lighting, shadows, and proportions appear consistent and natural."
Au_ani_10126.jpg,Authentic
Au_ani_10127.jpg,Authentic
Au_ani_10128.jpg,Authentic
Au_ani_10129.jpg,"Authentic

The image appears to be authentic. The dog's unusual facial expression is likely due to a moment caught mid-action, rather than digital manipulation or splicing."
Au_ani_10130.jpg,"Authentic

This image appears to be authentic. It shows a pig and a tiger cub lying together, which, while unusual, is not impossible and has been documented in some zoos and animal sanctuaries where animals of different species are raised together. There are no visible signs of digital manipulation or splicing in the image."
Au_ani_10131.jpg,"Authentic

This image appears to be authentic. It shows a giraffe and an ostrich interacting, which is a plausible scene in a zoo or wildlife park where both animals might coexist. There are no visible signs of splicing or manipulation in the image."
Au_ani_10132.jpg,"Spliced

The image shows a bird sitting on the ground, but its shadow is that of a dog. This indicates that the image has been manipulated or spliced."
Au_ani_10133.jpg,"Authentic

There are no visible signs of splicing or manipulation in this image. The lighting, shadows, and focus are consistent across all subjects, suggesting that the image is original and unedited."
Au_ani_10134.jpg,"Authentic

The image shows two dogs and a sheep sitting together, each on a leash. There are no visible signs of splicing or manipulation; the lighting, shadows, and edges are consistent throughout the image. It is plausible for these animals to be photographed together in this manner."
Au_ani_10135.jpg,"Authentic

The image shows a group of cows and a deer together in a field. There are no visible signs of splicing or manipulation; the lighting, shadows, and proportions are consistent throughout the image. It is not uncommon for deer and cows to be seen together in rural or farm settings."
Au_ani_10136.jpg,"Spliced

The image shows a cat with what appears to be a puppy among its kittens. The puppy's body has been edited to blend in with the kittens, making it look like it is part of the litter. This is a manipulated image."
Au_ani_10137.jpg,"Authentic

The image appears to be authentic. It shows a dog nursing two animals that are not puppies (they look like baby animals of another species, possibly raccoons or foxes). There are no visible signs of digital manipulation or splicing; the lighting, shadows, and positioning are consistent throughout the image. This is likely a real photograph capturing an unusual but possible scenario."
Au_ani_10138.jpg,"Authentic

This image appears to be authentic. It shows a dog nursing what seem to be lion cubs. While the situation is unusual, such cross-species nursing has been documented in real life, especially in zoos or animal sanctuaries where surrogate mothers are needed. There are no visible signs of digital manipulation or splicing in the image."
Au_ani_10139.jpg,"Authentic

The image shows a dog and a small deer-like animal lying together on a mat. There are no visible signs of splicing or manipulation; the lighting, shadows, and edges appear consistent and natural."
Au_ani_10140.jpg,"Authentic

The image shows a playful interaction between a puppy and a wild boar piglet. There are no visible signs of splicing or manipulation; the lighting, shadows, and focus are consistent throughout the image."
Au_ani_10141.jpg,Authentic
Au_ani_10142.jpg,"Authentic

The image shows a dog and a fox walking together, with the fox passing under the dog. There are no visible signs of splicing or manipulation; the lighting, shadows, and positioning appear natural and consistent."
